,Unnamed: 0,Unnamed: 0.1,Name,Simbad Name,x0,ex0,gamma,egamma,c1,ec1,c2,ec2,c3,ec3,RV,eRV,BH,eBH,Weight
0,0,0,HD698,HD698,4.551,0.006,0.96,0.03,0.07,0.19,0.99,0.05,2.95,0.19,3.94,0.16,3.200954861,0.287275369,2.138845663
1,1,1,HD3191,HD3191,4.636,0.003,0.94,0.02,-0.79,0.2,1,0.04,2.99,0.16,2.81,0.09,3.38388411,0.231351698,2.290683657
2,2,2,BD+57 245 (NGC 457),BD+57 245,4.561,0.005,0.89,0.03,-0.47,0.31,0.88,0.06,3.13,0.19,2.97,0.13,3.951521273,0.358473328,1.326062056
3,3,3,BD+57 252 (NGC 457),BD+57 252,4.577,0.005,0.92,0.02,-0.66,0.25,0.95,0.05,3.39,0.17,2.97,0.1,4.005198488,0.265829649,1.723713011
4,4,4,NGC 457 Pesch 34,ADS 1073,4.579,0.003,0.91,0.01,-0.55,0.2,0.86,0.04,3.32,0.11,2.94,0.11,4.009177636,0.159401898,1.244893649
5,5,5,NGC 457 Pesch 13,Cl* NGC 457 PES 13,4.587,0.004,0.87,0.02,-0.69,0.33,0.84,0.07,2.91,0.14,3.11,0.11,3.844629409,0.255847143,1.201818363
6,6,6,NGC 457 Pesch 9,BD+57 249,4.578,0.006,1.07,0.03,-1.13,0.22,1.08,0.04,4.31,0.22,2.76,0.07,3.764520919,0.285455901,3.953960847
7,7,7,Cr 463 #18,Cl Collinder  463  18,4.606,0.009,1.18,0.05,-0.47,0.26,1.03,0.07,5.23,0.45,3.38,0.17,3.756104568,0.453619902,2.659617824
8,8,8,BD+70 131 (Cr 463),BD+70 131,4.577,0.011,1.11,0.05,0.17,0.32,0.86,0.08,5.11,0.49,3.4,0.2,4.147390634,0.545680545,1.273769637
9,9,9,Cr 463 #5,Cl Collinder  463  5,4.61,0.008,1.08,0.04,0.45,0.33,0.74,0.08,4.77,0.34,2.91,0.18,4.089506173,0.420397246,1.084111241
10,10,10,BD+71 92 (Cr 463),BD+71 92,4.552,0.007,1.01,0.04,0.16,0.31,0.85,0.09,4.78,0.35,3.42,0.25,4.685815116,0.505445488,1.258025632
11,11,11,BD+71 107 (Cr 463),BD+71 107,4.538,0.008,0.96,0.03,0.01,0.25,0.92,0.05,3.74,0.24,2.96,0.14,4.058159722,0.363521037,1.513016457
