,c2,ec2,c1,ec1,Weight,trueWeight,min,normalized,err
0,0.6271,0.0676,0.3889,0.6847,0.001552093,1.107684,0.001400653,1.108121385,0.000437385
1,0.8599,0.2956,0.3431,1.3893,0.002614577,1.862792,,1.866684645,0.003892645
2,0.8599,0.0688,-0.707,0.4824,0.002064153,1.474027,,1.473707773,0.000319227
3,1.1091,0.2214,-0.9111,0.5167,0.004703898,3.358238,,3.358361483,0.000123483
4,0.7489,0.0638,0.301,0.7056,0.001515585,1.081496,,1.082055877,0.000559877
5,0.9479,0.2332,0.073,3.2014,0.002856791,2.036045,,2.039613729,0.003568729
6,0.8571,0.1169,-0.125,2.2351,0.002085453,1.487768,,1.488915382,0.001147382
7,0.712,0.0677,0.6179,0.6336,0.001475355,1.052638,,1.05333375,0.00069575
8,0.907,0.151,-0.6511,0.7234,0.002467278,1.760197,,1.761520343,0.001323343
9,1.0859,0.0726,-1.4049,0.1318,0.005954896,4.260696,,4.251514579,0.009181421
10,0.758,0.0837,0.2049,0.4823,0.001588963,1.133636,,1.1344445,0.0008085
11,0.8791,0.0832,-0.1349,0.6432,0.002220701,1.585491,,1.585476006,1.49937E-05
12,0.758,0.0731,-0.196,0.8445,0.001560513,1.113385,,1.114132391,0.000747391
13,0.679,0.0771,0.5549,1.1715,0.001498918,1.069507,,1.070156593,0.000649593
14,1.1891,0.1373,-1.718,0.3182,0.008358335,6.002571,,5.967456636,0.035114364
15,0.862,0.0655,0.3361,0.9744,0.002080824,1.48602,,1.485609845,0.000410155
16,0.497,0.0639,1.3591,0.9729,0.002049147,1.463434,,1.462994364,0.000439636
17,0.627,0.0576,0.5769,0.8749,0.001539869,1.099308,,1.099394089,8.60886E-05
18,0.8377,0.1462,-0.7041,1.4481,0.002043182,1.456824,,1.458735422,0.001911422
19,0.7961,0.0818,0.3289,0.4237,0.001706446,1.217465,,1.218321795,0.000856795
20,0.8171,0.0599,0.0009,0.232,0.001770968,1.264264,,1.264387828,0.000123828
21,1.048,0.1136,-0.945,0.3966,0.004519767,3.235256,,3.22690008,0.00835592
22,0.682,0.0679,-0.1679,1.1293,0.001474929,1.052417,,1.053029417,0.000612417
23,0.8119,0.0577,-0.335,0.5837,0.001739675,1.242033,,1.24204567,1.267E-05
24,0.5709,0.0655,0.878,0.6508,0.001716704,1.225587,,1.225645346,5.83456E-05
25,0.972,0.089,-0.9751,0.4771,0.003300698,2.359269,,2.356542795,0.002726205
26,0.933,0.0951,-0.3701,2.1325,0.002751596,1.965915,,1.964509856,0.001405144
27,0.656,0.0535,0.311,0.6075,0.00147445,1.052496,,1.052687854,0.000191854
28,0.5771,0.0636,1.069,1.0427,0.001693669,1.209075,,1.209199826,0.000124826
29,0.696,0.043,0.016,1.5927,0.001414373,1.009684,,1.009795377,0.000111377
30,0.9329,0.0572,-0.212,0.8366,0.002842703,2.032008,,2.0295558,0.0024522
31,0.8301,0.0832,-0.4621,1.6801,0.001874597,1.337761,,1.338374057,0.000613057
32,0.9231,0.0668,-0.7651,0.4791,0.002695257,1.925879,,1.924286252,0.001592748
33,0.8299,0.1003,-0.2681,1.7479,0.001902082,1.357197,,1.357996837,0.000799837
34,0.7231,0.0477,0.2439,0.9254,0.001434992,1.024364,,1.02451681,0.00015281
35,0.754,0.0679,0.002,0.2893,0.001537471,1.097168,,1.097681436,0.000513436
36,0.1969,0.0563,1.6649,0.9355,0.00763704,5.462204,,5.452486484,0.009717516
37,0.3191,0.0647,1.5139,1.6449,0.004160973,2.974884,,2.970738638,0.004145362
38,0.0399,0.0131,5.3609,1.7197,0.014037564,10.000334,,10.02215846,0.02182446
39,1.2006,0.0662,1.4559,0.1882,0.010370515,7.418546,,7.404058229,0.014487771
40,0.7731,0.155,0.5351,2.0827,0.001848768,1.317794,,1.319932902,0.002138902
41,0.9611,0.1714,-1.3029,0.7359,0.002933047,2.092483,,2.094057259,0.001574259
42,0.8161,0.1392,-0.002,0.2787,0.001932476,1.377941,,1.379696678,0.001755678
43,0.6019,0.0984,1.0899,0.6532,0.001661114,1.184819,,1.185956824,0.001137824
44,0.5459,0.0525,1.4429,0.5553,0.001812877,1.294824,,1.294308626,0.000515374
45,0.7232,0.0553,0.568,1.2823,0.001452927,1.037024,,1.037321504,0.000297504
46,0.6011,0.0948,0.2989,0.8654,0.001656387,1.181548,,1.182582458,0.001034458
47,0.6489,0.0717,0.4789,0.5112,0.001517691,1.083058,,1.083559457,0.000501457
48,0.6691,0.0826,0.8531,0.685,0.001518897,1.083666,,1.084421026,0.000755026
49,0.3849,0.076,1.97,1.635,0.003011707,2.152179,,2.150216829,0.001962171
50,0.4791,0.0537,1.259,0.6909,0.002149859,1.535789,,1.534897587,0.000891413
51,0.1668,0.0465,1.09,1.6414,0.008712394,6.227247,,6.220238026,0.007008974
52,0.3451,0.0874,1.01,1.0843,0.003564913,2.548809,,2.545179424,0.003629576
53,0.5901,0.0729,0.4989,1.1808,0.001657067,1.182657,,1.183067784,0.000410784
54,-0.15,0.0716,2.798,1.7811,0.046875165,33.529465,,33.4666559,0.062809104
55,-0.3292,0.1101,3.3897,1.635,0.132218448,95.257844,,94.39773263,0.860111367
56,-0.1146,0.0842,2.9011,2.4427,0.036427668,26.102158,,26.00763629,0.094521708
57,-0.1928,0.0159,2.7768,1.1264,0.035726799,25.481146,,25.50724859,0.026102586
58,0.1162,0.0491,0.3691,6.1145,0.011097271,7.931484,,7.922927918,0.008556082
59,0.1219,0.0658,2.602,3.2007,0.010620822,7.595166,,7.582765481,0.012400519
60,0,0.429,2.3329,0.6221,0.007008986,4.994845,,5.004085109,0.009240109
61,0.1999,0.1007,2.8242,3.0146,0.006928852,4.960233,,4.946873668,0.013359332
62,0.5432,0.0863,1.5048,1.0803,0.00183605,1.31049,,1.310853084,0.000363084
63,0.3056,0.0568,2.0211,1.2417,0.004525105,3.235389,,3.230711464,0.004677536
64,0.5171,0.0815,0.995,1.3154,0.001950414,1.392524,,1.392503534,2.04657E-05
65,0.035,0.0104,3.1138,1.2517,0.01303971,9.280758,,9.309737571,0.028979571
66,0.6249,0.0692,0.484,0.5274,0.00155931,1.112922,,1.113273796,0.000351796
67,0.773,0.075,0.435,0.929,0.00160745,1.147123,,1.147643797,0.000520797
68,0.766,0.0911,0.1301,1.0209,0.00162977,1.162561,,1.163579026,0.001018026
69,0.6769,0.101,0.9929,0.7956,0.001564355,1.115569,,1.116875314,0.001306314
70,0.8213,0.1264,0.2477,2.1586,0.001919515,1.369015,,1.370443312,0.001428312
71,1.1269,0.1205,-1.4948,0.4855,0.00648943,4.651506,,4.633146771,0.018359229
72,0.884,0.0734,-0.3751,0.5142,0.002267927,1.619918,,1.61919285,0.00072515
73,0.6489,0.0698,0.2979,1.9112,0.001514066,1.080557,,1.080971719,0.000414719
74,0.8781,0.1043,-0.6411,0.6376,0.002216467,1.581783,,1.582452515,0.000669515
75,0.5541,0.0734,0.806,0.7307,0.001783928,1.273451,,1.273640384,0.000189384
76,0.8381,0.0802,0,0.1999,0.001918386,1.369404,,1.369636898,0.000232898
77,0.9621,0.0821,-0.8731,0.8145,0.003179814,2.273289,,2.270237007,0.003051993
78,0.838,0.0939,-0.498,0.7766,0.001935952,1.381398,,1.382178048,0.000780048
79,0.9031,0.0778,-0.6811,0.3754,0.002450383,1.750164,,1.749458095,0.000705905
80,0.726,0.0545,0.2309,0.5845,0.001454103,1.037885,,1.038160929,0.000275929
81,0.6229,0.0541,0.1041,0.7496,0.0015468,1.104269,,1.104342537,7.35369E-05
82,0.8599,0.0647,-0.3321,1.1053,0.002064034,1.474006,,1.473622895,0.000383105
83,0.5949,0.1196,1.0126,1.0471,0.001723396,1.229004,,1.230423554,0.001419554
84,1.052,0.2284,-0.8811,0.7184,0.003828306,2.730641,,2.733229502,0.002588502
85,1.2671,0.1699,-2.238,0.1609,0.01090952,7.855916,,7.788882521,0.067033479
86,0.9201,0.1321,-0.6079,0.8684,0.002570584,1.834636,,1.835275577,0.000639577
87,0.8261,0.1019,-0.3081,0.6327,0.001885669,1.345234,,1.346278552,0.001044552
88,1.091,0.2357,-1.1631,0.9753,0.004322986,3.083898,,3.086408162,0.002510162
89,0.7031,0.1306,0.3981,1.0419,0.001661429,1.18444,,1.186181694,0.001741694
90,0.6968,0.1419,1.1569,1.4705,0.001697433,1.210025,,1.211887196,0.001862196
91,0.3447,0.1129,1.7157,2.2133,0.003482423,2.489454,,2.48628543,0.00316857
92,0.9721,0.1548,-0.7929,0.6374,0.003071032,2.192385,,2.192572016,0.000187016
93,0.5398,0.1557,1.0762,2.1528,0.001970369,1.404575,,1.40675064,0.00217564
